nCodePoint,sName,sLaTex,eGlyphClass,nTopAccentX,nItalicCorr
0,G.sts,,0,658,0
0,g.sts,,0,441,0
0,S_S.sts,,0,0,0
0,germandbls.sts,,0,0,0
0,uni2E18.sts,,0,0,0
0,grave.sts,,0,302,0
0,H.sts,,0,490,0
0,h.sts,,0,166,0
0,space_uni0309.sts,,0,339,0
0,hungarumlaut.sts,,0,370,0
0,hyphen.sts,,0,0,0
0,I.sts,,0,247,0
0,I_J.sts,,0,0,0
0,i_j.sts,,0,0,0
0,uni203D.sts,,0,0,0
0,Iogonek.sts,,0,0,0
0,iogonek.sts,,0,0,0
0,J.sts,,0,432,0
0,K.sts,,0,500,0
0,k.sts,,0,160,0
0,L.sts,,0,261,0
0,l.sts,,0,167,0
0,leaf.sts,,0,0,16
0,longs.sts,,0,0,58
0,Lslash.sts,,0,0,0
0,lslash.sts,,0,0,0
0,M.sts,,0,594,0
0,m.sts,,0,476,0
0,macron.sts,,0,340,0
0,married.sts,,0,0,99
0,uni00B5.sts,,0,0,0
0,musicalnote.sts,,0,0,0
0,N.sts,,0,490,0
0,n.sts,,0,296,0
0,nine.sts,,0,335,0
0,numbersign.sts,,0,0,0
0,O.sts,,0,514,0
0,o.sts,,0,340,0
0,OE.sts,,0,0,0
0,oe.sts,,0,0,0
0,ogonek.sts,,0,0,0
0,Ohorn.sts,,0,0,0
0,ohorn.sts,,0,0,0
0,one.sts,,0,352,0
0,ordfeminine.sts,,0,0,0
0,ordmasculine.sts,,0,0,0
0,Oslash.sts,,0,0,0
0,oslash.sts,,0,0,0
0,P.sts,,0,344,0
0,p.sts,,0,289,0
0,percent.sts,,0,0,0
0,permyriad.sts,,0,0,0
0,perthousand.sts,,0,0,0
0,perthousandzero.sts,,0,0,0
0,proportional.sts,,0,0,0
0,published.sts,,0,0,28
0,Q.sts,,0,514,0
0,q.sts,,0,424,0
0,question.sts,,0,0,0
0,questiondown.sts,,0,0,0
0,quotedbl.sts,,0,0,0
0,quoteleft.sts,,0,0,0
0,quoteright.sts,,0,0,0
0,quotesinglbase.sts,,0,0,0
0,quotesingle.sts,,0,0,0
0,R.sts,,0,323,0
0,r.sts,,0,260,0
0,recipe.sts,,0,0,0
0,referencemark.sts,,0,0,0
0,registered.sts,,0,0,28
0,ring.sts,,0,489,0
0,S.sts,,0,439,0
0,s.sts,,0,316,0
0,Scedilla.sts,,0,0,0
0,scedilla.sts,,0,0,0
0,semicolon.sts,,0,0,0
0,servicemark.sts,,0,0,0
0,seven.sts,,0,158,0
0,six.sts,,0,428,0
0,sterling.sts,,0,0,0
0,T.sts,,0,479,0
0,t.sts,,0,225,0
0,Thorn.sts,,0,0,0
0,thorn.sts,,0,0,0
0,three.sts,,0,322,0
0,threequartersemdash.sts,,0,0,0
0,tilde.sts,,0,340,0
0,asciitilde.low.sts,,0,0,27
0,trademark.sts,,0,0,0
0,emdash.alt.sts,,0,0,0
0,two.sts,,0,328,0
0,U.sts,,0,490,0
0,u.sts,,0,341,0
0,Uhorn.sts,,0,0,0
0,uhorn.sts,,0,0,10
0,underscore.sts,,0,0,28
0,Uogonek.sts,,0,0,0
0,uogonek.sts,,0,0,0
0,V.sts,,0,490,0
0,v.sts,,0,357,0
0,W.sts,,0,664,0
0,w.sts,,0,479,0
0,X.sts,,0,473,0
0,x.sts,,0,350,0
0,Y.sts,,0,490,0
0,y.sts,,0,357,0
0,yen.sts,,0,0,0
0,Z.sts,,0,424,0
0,z.sts,,0,309,0
0,zero.sts,,0,340,0
0,Euro.sts,,0,0,0
0,guillemotleft.sts,,0,0,0
0,guillemotright.sts,,0,0,0
0,guilsinglleft.sts,,0,0,0
0,guilsinglright.sts,,0,0,0
0,uni2423.sts,,0,0,0
0,i.sts,,0,201,0
0,j.sts,,0,233,0
0,space_uni0331.sts,,0,340,0
0,Aacute.sts,,0,0,0
0,aacute.sts,,0,0,0
0,Abreve.sts,,0,0,0
0,abreve.sts,,0,0,0
0,Abreveacute.sts,,0,0,0
0,abreveacute.sts,,0,0,0
0,Abrevedotbelow.sts,,0,0,0
0,abrevedotbelow.sts,,0,0,0
0,Abrevegrave.sts,,0,0,0
0,abrevegrave.sts,,0,0,0
0,Abrevehookabove.sts,,0,0,0
0,abrevehookabove.sts,,0,0,0
0,Abrevetilde.sts,,0,0,0
0,abrevetilde.sts,,0,0,0
0,Acircumflex.sts,,0,0,0
0,acircumflex.sts,,0,0,0
0,Acircumflexacute.sts,,0,0,0
0,acircumflexacute.sts,,0,0,0
0,Acircumflexdotbelow.sts,,0,0,0
0,acircumflexdotbelow.sts,,0,0,0
0,Acircumflexgrave.sts,,0,0,0
